feature,importance
numeric__ATTENDANCE_RATE,0.6708456424670793
numeric__ENROLLMENT_YEAR,0.10155941095588948
numeric__COURSE_LEVEL,0.043698592462156814
numeric__DEPARTMENT_ID,0.03636043553757489
numeric__WEIGHT_PERCENTAGE,0.02949713963603579
categorical__STUDENT_STATUS_ACTIVE,0.018738832280499728
categorical__EXAM_TYPE_MIDTERM,0.018311428976983186
categorical__STUDENT_STATUS_INACTIVE,0.0169377712545533
categorical__STUDENT_STATUS_GRADUATED,0.016881569140720504
categorical__ENROLLMENT_STATUS_COMPLETED,0.015901936906455316
categorical__EXAM_TYPE_FINAL,0.01579821678296057
categorical__ENROLLMENT_STATUS_ENROLLED,0.015469023599091246
categorical__COURSE_STATUS_ACTIVE,0.0
numeric__CREDITS,0.0
numeric__MAXIMUM_SCORE,0.0
